qcode	count	label	qcodes_broader
Q952842	11	Clayton	['Q15219655']
Q755798	46	Milford	['Q1093829']
Q984677	45	Plantation	['Q1093829']
Q2013	125	Wikidata	['Q593744', 'Q638153', 'Q7094076', 'Q15633582', 'Q33002955', 'Q33120876', 'Q36509592', 'Q109613893', 'Q114955954']
Q1380961	14	John Beck	['Q5']
Q3505937	7	Suzanne Césaire	['Q5']
Q76797	68	J. Hans D. Jensen	['Q5']
Q954095	39	Mercer Island	['Q1093829']
Q2890282	24	Vici	['Q15127012']
Q618086	30	Apatou	['Q484170', 'Q902814']
Q1659007	13	Freeman	['Q15219655']
Q1183083	22	Laurel Mountain	['Q777120']
Q3474645	6	Keno	['Q17343829']
Q555155	7	Ludovic Lamothe	['Q5']
Q390845	59	Illorai	['Q747074']
Q79462	38	Hamilton	['Q1093829']
Q185589	48	parasympathetic nervous system	['Q4936952', 'Q112826905']
Q129949	27	Rockville	['Q15127012']
Q29413183	13	Jeune Femme	['Q11424']
Q693636	31	Westwood	['Q1093829']
Q816184	18	Hinabangan	['Q24764']
Q19609036	5	Valentin Valentin	['Q11424']
Q104898194	3	The Crossing	['Q11424', 'Q29168811']
Q106709	38	Patrice Leconte	['Q5']
Q36023	144	Calvin Coolidge	['Q5']
Q951297	8	Harvey Friedman	['Q5']
Q5481522	3	Francis John Welsh Whipple	['Q5']
Q1248428	7	De frente al sol	['Q5398426']
Q593663	24	Fonda	['Q486972']
Q1635326	32	Vegacervera	['Q2074737']
Q7211	13	taxonomy	['Q107478770']
Q3710101	7	Kent	['Q17343829']
Q2695935	27	Pine	['Q498162']
Q3599511	7	613	['Q4167410']
Q3085194	2	François Loriquet	['Q5']
Q12886734	2	1598	['Q4167410']
Q28839212	2	Tassadit Mandi	['Q5']
Q15041965	5	Jeimy Osorio	['Q5']
Q91656	8	Heinz Barwich	['Q5']
Q17462733	5	Erick Chapa	['Q5']
Q47863	90	Midway Atoll	['Q462778', 'Q1550680']
Q647994	26	Warren	['Q486972']
Q2427326	21	Douglas	['Q15127012']
Q2040926	24	New Ross	['Q15127012']
Q518179	23	André Hunebelle	['Q5']
Q80047	37	Brighton	['Q1093829']
